force_label,candidate_name,result_percent,source_url,source_label
ENS,Emmanuel Macron,27.84,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000045570394,Conseil constitutionnel 2022
RN,Marine Le Pen,23.15,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000045570394,Conseil constitutionnel 2022
LFI,Jean-Luc Mélenchon,21.95,https://www.info.gouv.fr/actualite/election-presidentielle-2022-les-resultats-du-premier-tour,info.gouv.fr 2022
REC,Éric Zemmour,7.07,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000045570394,Conseil constitutionnel 2022
EELV,Yannick Jadot,4.63,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000045570394,Conseil constitutionnel 2022
LR,Valérie Pécresse,4.78,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000045570394,Conseil constitutionnel 2022
PS-PP,Anne Hidalgo,1.75,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000045570394,Conseil constitutionnel 2022
PCF,Fabien Roussel,2.28,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000045570394,Conseil constitutionnel 2022
DLF,Nicolas Dupont-Aignan,2.06,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000045570394,Conseil constitutionnel 2022
